date,time,opponent,location
03/30/2018,04:10PM,was,cin
03/31/2018,02:10PM,was,cin
04/01/2018,04:10PM,was,cin
04/02/2018,04:10PM,chc,cin
04/03/2018,06:40PM,chc,cin
04/05/2018,07:05PM,pit,pit
04/06/2018,07:05PM,pit,pit
04/07/2018,07:05PM,pit,pit
04/08/2018,01:35PM,pit,pit
04/09/2018,07:05PM,phi,phi
04/10/2018,07:05PM,phi,phi
04/11/2018,07:05PM,phi,phi
04/12/2018,06:40PM,stl,cin
04/13/2018,06:40PM,stl,cin
04/14/2018,01:10PM,stl,cin
04/15/2018,01:10PM,stl,cin
04/16/2018,07:40PM,mil,mil
04/17/2018,07:40PM,mil,mil
04/18/2018,01:40PM,mil,mil
04/20/2018,08:15PM,stl,stl
04/21/2018,02:15PM,stl,stl
04/22/2018,02:15PM,stl,stl
04/23/2018,06:40PM,atl,cin
04/24/2018,06:40PM,atl,cin
04/25/2018,06:40PM,atl,cin
04/26/2018,12:35PM,atl,cin
04/27/2018,08:10PM,min,min
04/28/2018,02:10PM,min,min
04/29/2018,02:10PM,min,min
04/30/2018,07:10PM,mil,cin
05/01/2018,07:10PM,mil,cin
05/02/2018,07:10PM,mil,cin
05/04/2018,07:10PM,mia,cin
05/05/2018,07:10PM,mia,cin
05/06/2018,04:10PM,mia,cin
05/07/2018,07:10PM,nym,cin
05/08/2018,07:10PM,nym,cin
05/09/2018,12:35PM,nym,cin
05/10/2018,10:10PM,lad,lad
05/11/2018,10:10PM,lad,lad
05/12/2018,09:10PM,lad,lad
05/13/2018,04:10PM,lad,lad
05/14/2018,10:15PM,sf,sf
05/15/2018,10:15PM,sf,sf
05/16/2018,03:45PM,sf,sf
05/18/2018,07:10PM,chc,cin
05/19/2018,07:10PM,chc,cin
05/20/2018,01:10PM,chc,cin
05/22/2018,07:10PM,pit,cin
05/23/2018,07:10PM,pit,cin
05/24/2018,12:35PM,pit,cin
05/25/2018,08:40PM,col,col
05/26/2018,09:10PM,col,col
05/27/2018,03:10PM,col,col
05/28/2018,04:10PM,ari,ari
05/29/2018,09:40PM,ari,ari
05/30/2018,03:40PM,ari,ari
06/01/2018,10:10PM,sd,sd
06/02/2018,08:40PM,sd,sd
06/03/2018,06:10PM,sd,sd
06/05/2018,07:10PM,col,cin
06/06/2018,07:10PM,col,cin
06/07/2018,12:35PM,col,cin
06/08/2018,07:10PM,stl,cin
06/09/2018,04:10PM,stl,cin
06/10/2018,01:10PM,stl,cin
06/12/2018,08:15PM,kc,kc
06/13/2018,08:15PM,kc,kc
06/15/2018,07:05PM,pit,pit
06/16/2018,04:05PM,pit,pit
06/17/2018,01:35PM,pit,pit
06/19/2018,07:10PM,det,cin
06/20/2018,12:35PM,det,cin
06/21/2018,07:10PM,chc,cin
06/22/2018,07:10PM,chc,cin
06/23/2018,04:10PM,chc,cin
06/24/2018,01:10PM,chc,cin
06/25/2018,07:35PM,atl,atl
06/26/2018,07:35PM,atl,atl
06/27/2018,12:10PM,atl,atl
06/28/2018,07:10PM,mil,cin
06/29/2018,07:10PM,mil,cin
06/30/2018,04:10PM,mil,cin
07/01/2018,01:10PM,mil,cin
07/02/2018,07:10PM,chw,cin
07/03/2018,07:10PM,chw,cin
07/04/2018,07:10PM,chw,cin
07/06/2018,02:20PM,chc,chc
07/07/2018,02:20PM,chc,chc
07/08/2018,02:20PM,chc,chc
07/09/2018,07:10PM,cle,cle
07/10/2018,07:10PM,cle,cle
07/11/2018,07:10PM,cle,cle
07/13/2018,08:15PM,stl,stl
07/14/2018,04:10PM,stl,stl
07/15/2018,02:15PM,stl,stl
07/20/2018,07:10PM,pit,cin
07/21/2018,07:10PM,pit,cin
07/22/2018,01:10PM,pit,cin
07/23/2018,07:10PM,stl,cin
07/24/2018,07:10PM,stl,cin
07/25/2018,12:35PM,stl,cin
07/26/2018,07:10PM,phi,cin
07/27/2018,07:10PM,phi,cin
07/28/2018,06:40PM,phi,cin
07/29/2018,01:10PM,phi,cin
07/31/2018,07:10PM,det,det
08/01/2018,01:10PM,det,det
08/02/2018,07:05PM,was,was
08/03/2018,07:05PM,was,was
08/04/2018,07:05PM,was,was
