date,time,opponent,location
08/05/2018,01:35PM,was,was
08/06/2018,07:10PM,nym,nym
08/07/2018,07:10PM,nym,nym
08/08/2018,12:10PM,nym,nym
08/10/2018,07:10PM,ari,cin
08/11/2018,06:40PM,ari,cin
08/12/2018,01:10PM,ari,cin
08/13/2018,07:10PM,cle,cin
08/14/2018,07:10PM,cle,cin
08/15/2018,07:10PM,cle,cin
08/17/2018,07:10PM,sf,cin
08/18/2018,07:10PM,sf,cin
08/19/2018,01:10PM,sf,cin
08/20/2018,08:10PM,mil,mil
08/21/2018,08:10PM,mil,mil
08/22/2018,02:10PM,mil,mil
08/23/2018,08:05PM,chc,chc
08/24/2018,02:20PM,chc,chc
08/25/2018,02:20PM,chc,chc
08/26/2018,02:20PM,chc,chc
08/28/2018,07:10PM,mil,cin
08/29/2018,07:10PM,mil,cin
08/30/2018,12:35PM,mil,cin
08/31/2018,08:15PM,stl,stl
09/01/2018,07:15PM,stl,stl
09/02/2018,02:15PM,stl,stl
09/03/2018,01:35PM,pit,pit
09/04/2018,07:05PM,pit,pit
09/05/2018,07:05PM,pit,pit
09/06/2018,06:40PM,sd,cin
09/07/2018,06:40PM,sd,cin
09/08/2018,04:10PM,sd,cin
09/09/2018,01:10PM,sd,cin
09/10/2018,06:40PM,lad,cin
09/11/2018,06:40PM,lad,cin
09/12/2018,12:35PM,lad,cin
09/14/2018,02:20PM,chc,chc
09/15/2018,04:05PM,chc,chc
09/16/2018,02:20PM,chc,chc
09/17/2018,07:40PM,mil,mil
09/18/2018,07:40PM,mil,mil
09/19/2018,07:40PM,mil,mil
09/20/2018,07:10PM,mia,mia
09/21/2018,07:10PM,mia,mia
09/22/2018,07:10PM,mia,mia
09/23/2018,01:10PM,mia,mia
09/25/2018,06:40PM,kc,cin
09/26/2018,06:40PM,kc,cin
09/28/2018,06:40PM,pit,cin
09/29/2018,04:10PM,pit,cin
09/30/2018,03:10PM,pit,cin
