date,time,opponent,location
04/07/2022,08:08PM,atl,atl
04/08/2022,07:20PM,atl,atl
04/09/2022,07:20PM,atl,atl
04/10/2022,01:35PM,atl,atl
04/12/2022,04:10PM,cle,cin
04/13/2022,12:35PM,cle,cin
04/14/2022,10:10PM,lad,lad
04/15/2022,10:10PM,lad,lad
04/16/2022,10:10PM,lad,lad
04/17/2022,04:10PM,lad,lad
04/18/2022,09:40PM,sd,sd
04/19/2022,09:40PM,sd,sd
04/20/2022,04:10PM,sd,sd
04/22/2022,06:40PM,stl,cin
04/23/2022,04:10PM,stl,cin
04/24/2022,01:40PM,stl,cin
04/26/2022,06:40PM,sd,cin
04/27/2022,06:40PM,sd,cin
04/28/2022,12:35PM,sd,cin
04/29/2022,08:40PM,col,col
04/30/2022,08:10PM,col,col
05/01/2022,03:10PM,col,col
05/03/2022,07:40PM,mil,mil
05/04/2022,07:40PM,mil,mil
05/05/2022,01:40PM,mil,mil
05/06/2022,06:40PM,pit,cin
05/07/2022,12:35PM,pit,cin
05/07/2022,06:40PM,pit,cin
05/08/2022,01:40PM,pit,cin
05/09/2022,06:40PM,mil,cin
05/10/2022,06:40PM,mil,cin
05/11/2022,12:35PM,mil,cin
05/12/2022,06:35PM,pit,pit
05/13/2022,06:35PM,pit,pit
05/14/2022,06:35PM,pit,pit
05/15/2022,01:35PM,pit,pit
05/17/2022,06:10PM,cle,cle
05/18/2022,06:10PM,cle,cle
05/20/2022,07:07PM,tor,tor
05/21/2022,03:07PM,tor,tor
05/22/2022,01:37PM,tor,tor
05/23/2022,06:40PM,chc,cin
05/24/2022,06:40PM,chc,cin
05/25/2022,06:40PM,chc,cin
05/26/2022,12:35PM,chc,cin
05/27/2022,06:40PM,sf,cin
05/28/2022,04:10PM,sf,cin
05/29/2022,11:35AM,sf,cin
05/31/2022,07:10PM,bos,bos
06/01/2022,07:10PM,bos,bos
06/02/2022,06:40PM,was,cin
06/03/2022,06:40PM,was,cin
06/04/2022,04:10PM,was,cin
06/05/2022,01:40PM,was,cin
06/06/2022,06:40PM,ari,cin
06/07/2022,06:40PM,ari,cin
06/08/2022,06:40PM,ari,cin
06/09/2022,12:35PM,ari,cin
06/10/2022,08:15PM,stl,stl
06/11/2022,02:15PM,stl,stl
06/12/2022,02:15PM,stl,stl
06/13/2022,09:40PM,ari,ari
06/14/2022,09:40PM,ari,ari
06/15/2022,03:40PM,ari,ari
06/17/2022,06:40PM,mil,cin
06/18/2022,04:10PM,mil,cin
06/19/2022,01:40PM,mil,cin
06/21/2022,06:40PM,lad,cin
06/22/2022,06:40PM,lad,cin
06/23/2022,12:35PM,lad,cin
06/24/2022,10:15PM,sf,sf
06/25/2022,07:15PM,sf,sf
06/26/2022,04:05PM,sf,sf
06/28/2022,08:05PM,chc,chc
06/29/2022,08:05PM,chc,chc
06/30/2022,08:05PM,chc,chc
07/01/2022,06:40PM,atl,cin
07/02/2022,04:10PM,atl,cin
07/03/2022,01:40PM,atl,cin
07/04/2022,06:40PM,nym,cin
07/05/2022,06:40PM,nym,cin
07/06/2022,06:40PM,nym,cin
07/07/2022,06:40PM,pit,cin
07/08/2022,06:40PM,tb,cin
07/09/2022,04:10PM,tb,cin
07/10/2022,01:40PM,tb,cin
07/12/2022,07:05PM,nyy,nyy
07/13/2022,07:05PM,nyy,nyy
07/14/2022,07:05PM,nyy,nyy
07/15/2022,08:15PM,stl,stl
07/16/2022,02:15PM,stl,stl
07/17/2022,02:15PM,stl,stl
07/22/2022,06:40PM,stl,cin
07/23/2022,06:40PM,stl,cin
07/24/2022,01:40PM,stl,cin
07/25/2022,06:40PM,mia,cin
07/26/2022,06:40PM,mia,cin
07/27/2022,06:40PM,mia,cin
07/28/2022,12:35PM,mia,cin
07/29/2022,06:40PM,bal,cin
07/30/2022,06:40PM,bal,cin
07/31/2022,01:40PM,bal,cin
08/01/2022,06:40PM,mia,mia
08/02/2022,06:40PM,mia,mia
08/03/2022,06:40PM,mia,mia
08/05/2022,08:10PM,mil,mil
08/06/2022,07:15PM,mil,mil
08/07/2022,02:10PM,mil,mil
08/08/2022,07:10PM,nym,nym
08/09/2022,07:10PM,nym,nym
08/10/2022,01:10PM,nym,nym
08/13/2022,06:40PM,chc,cin
08/14/2022,01:40PM,chc,cin
08/15/2022,06:40PM,phi,cin
08/16/2022,06:40PM,phi,cin
08/17/2022,12:35PM,phi,cin
08/19/2022,07:05PM,pit,pit
08/20/2022,07:05PM,pit,pit
08/21/2022,01:35PM,pit,pit
08/22/2022,07:05PM,phi,phi
08/23/2022,07:05PM,phi,phi
08/24/2022,07:05PM,phi,phi
08/25/2022,07:05PM,phi,phi
08/26/2022,07:05PM,was,was
08/27/2022,07:05PM,was,was
08/28/2022,01:35PM,was,was
08/29/2022,06:40PM,stl,cin
08/30/2022,06:40PM,stl,cin
08/31/2022,06:40PM,stl,cin
09/02/2022,06:40PM,col,cin
09/03/2022,06:40PM,col,cin
09/04/2022,01:40PM,col,cin
09/06/2022,07:40PM,chc,chc
09/07/2022,07:40PM,chc,chc
09/08/2022,02:20PM,chc,chc
09/09/2022,08:10PM,mil,mil
09/10/2022,07:15PM,mil,mil
09/11/2022,02:10PM,mil,mil
09/12/2022,06:40PM,pit,cin
09/13/2022,12:35PM,pit,cin
09/13/2022,06:40PM,pit,cin
09/14/2022,12:35PM,pit,cin
09/15/2022,07:45PM,stl,stl
09/16/2022,08:15PM,stl,stl
09/17/2022,07:15PM,stl,stl
09/18/2022,02:15PM,stl,stl
09/20/2022,06:40PM,bos,cin
09/21/2022,06:40PM,bos,cin
09/22/2022,06:40PM,mil,cin
09/23/2022,06:40PM,mil,cin
09/24/2022,06:40PM,mil,cin
09/25/2022,01:40PM,mil,cin
09/26/2022,06:35PM,pit,pit
09/27/2022,06:35PM,pit,pit
09/28/2022,12:35PM,pit,pit
09/30/2022,02:20PM,chc,chc
10/01/2022,02:20PM,chc,chc
10/02/2022,02:20PM,chc,chc
10/03/2022,06:40PM,chc,cin
10/04/2022,06:40PM,chc,cin
