date,time,location,opponent
06/30/2017,07:10PM,cin,chc
07/01/2017,04:10PM,cin,chc
07/02/2017,01:10PM,cin,chc
07/03/2017,08:10PM,col,col
07/04/2017,08:10PM,col,col
07/05/2017,08:40PM,col,col
07/06/2017,03:10PM,col,col
07/07/2017,09:40PM,ari,ari
07/08/2017,10:10PM,ari,ari
07/09/2017,04:10PM,ari,ari
07/14/2017,07:10PM,cin,was
07/15/2017,07:10PM,cin,was
07/16/2017,01:10PM,cin,was
07/17/2017,12:35PM,cin,was
07/18/2017,07:10PM,cin,ari
07/19/2017,07:10PM,cin,ari
07/20/2017,12:35PM,cin,ari
07/21/2017,07:10PM,cin,mia
07/22/2017,07:10PM,cin,mia
07/23/2017,01:10PM,cin,mia
07/25/2017,07:05PM,nyy,nyy
07/26/2017,01:05PM,nyy,nyy
07/27/2017,07:10PM,mia,mia
07/28/2017,07:10PM,mia,mia
07/29/2017,07:10PM,mia,mia
07/30/2017,01:10PM,mia,mia
08/01/2017,07:05PM,pit,pit
08/02/2017,07:05PM,pit,pit
08/03/2017,07:05PM,pit,pit
08/04/2017,07:10PM,cin,stl
08/05/2017,07:10PM,cin,stl
08/06/2017,01:10PM,cin,stl
08/07/2017,07:10PM,cin,sd
08/08/2017,07:10PM,cin,sd
08/09/2017,07:10PM,cin,sd
08/10/2017,12:35PM,cin,sd
08/11/2017,08:10PM,mil,mil
08/12/2017,07:10PM,mil,mil
08/13/2017,02:10PM,mil,mil
08/14/2017,08:05PM,chc,chc
08/15/2017,08:05PM,chc,chc
08/16/2017,08:05PM,chc,chc
08/17/2017,02:20PM,chc,chc
08/18/2017,07:35PM,atl,atl
08/19/2017,07:10PM,atl,atl
08/20/2017,01:35PM,atl,atl
08/22/2017,07:10PM,cin,chc
08/23/2017,07:10PM,cin,chc
08/24/2017,07:10PM,cin,chc
08/25/2017,07:10PM,cin,pit
08/26/2017,07:10PM,cin,pit
08/27/2017,01:10PM,cin,pit
08/29/2017,07:10PM,cin,nym
08/30/2017,07:10PM,cin,nym
08/31/2017,12:35PM,cin,nym
09/01/2017,07:05PM,pit,pit
09/02/2017,07:05PM,pit,pit
09/03/2017,01:35PM,pit,pit
09/04/2017,01:10PM,cin,mil
09/05/2017,07:10PM,cin,mil
09/06/2017,12:35PM,cin,mil
09/07/2017,07:10PM,nym,nym
09/08/2017,07:10PM,nym,nym
09/09/2017,07:10PM,nym,nym
09/10/2017,01:10PM,nym,nym
09/12/2017,08:15PM,stl,stl
09/13/2017,08:15PM,stl,stl
09/14/2017,01:45PM,stl,stl
09/15/2017,07:10PM,cin,pit
09/16/2017,04:10PM,cin,pit
09/17/2017,01:10PM,cin,pit
09/19/2017,07:10PM,cin,stl
09/20/2017,07:10PM,cin,stl
09/21/2017,07:10PM,cin,stl
09/22/2017,07:10PM,cin,bos
09/23/2017,04:10PM,cin,bos
09/24/2017,01:10PM,cin,bos
09/26/2017,07:40PM,mil,mil
09/27/2017,08:10PM,mil,mil
09/28/2017,08:10PM,mil,mil
09/29/2017,02:20PM,chc,chc
09/30/2017,04:05PM,chc,chc
10/01/2017,03:20PM,chc,chc
