date,time,location,opponent
02/27/2017,03:10PM,ari,ari
02/28/2017,03:05PM,cin,chw
03/1/2017,03:05PM,mil,mil
03/2/2017,03:05PM,cin,chc
03/3/2017,03:05PM,chc,chc
03/4/2017,03:05PM,cin,kc
03/5/2017,03:10PM,laa,laa
03/7/2017,03:05PM,cin,kc
03/8/2017,03:05PM,cin,laa
03/9/2017,03:05PM,oak,oak
03/10/2017,08:05PM,cin,col
03/11/2017,03:10PM,sea,sea
03/11/2017,03:05PM,sf,sf
03/12/2017,04:10PM,col,col
03/12/2017,04:05PM,cin,mil
03/13/2017,04:05PM,cin,oak
03/14/2017,04:05PM,lad,lad
03/15/2017,04:05PM,cin,sd
03/17/2017,09:05PM,cle,cle
03/18/2017,04:05PM,cin,tex
03/19/2017,04:10PM,sd,sd
03/20/2017,04:05PM,kc,kc
03/21/2017,04:05PM,cin,laa
03/22/2017,09:05PM,cin,chc
03/23/2017,04:05PM,chw,chw
03/24/2017,04:05PM,cin,mil
03/25/2017,04:05PM,chc,chc
03/25/2017,04:05PM,oak,oak
03/26/2017,04:05PM,chc,chc
03/26/2017,04:05PM,cin,sea
03/27/2017,04:05PM,sf,sf
03/28/2017,04:05PM,cin,lad
03/29/2017,03:05PM,cin,cle
04/03/2017,04:10PM,cin,phi
04/05/2017,07:10PM,cin,phi
04/06/2017,12:35PM,cin,phi
04/07/2017,08:15PM,stl,stl
04/08/2017,02:15PM,stl,stl
04/09/2017,02:15PM,stl,stl
04/10/2017,07:05PM,pit,pit
04/11/2017,07:05PM,pit,pit
04/12/2017,07:05PM,pit,pit
04/13/2017,07:10PM,cin,mil
04/14/2017,07:10PM,cin,mil
04/15/2017,01:10PM,cin,mil
04/16/2017,01:10PM,cin,mil
04/18/2017,07:10PM,cin,bal
04/19/2017,07:10PM,cin,bal
04/20/2017,07:10PM,cin,bal
04/21/2017,07:10PM,cin,chc
04/22/2017,01:10PM,cin,chc
04/23/2017,01:10PM,cin,chc
04/24/2017,07:40PM,mil,mil
04/25/2017,07:40PM,mil,mil
04/26/2017,01:40PM,mil,mil
04/28/2017,08:15PM,stl,stl
04/29/2017,02:15PM,stl,stl
04/30/2017,02:15PM,stl,stl
05/01/2017,07:10PM,cin,pit
05/02/2017,07:10PM,cin,pit
05/03/2017,07:10PM,cin,pit
05/04/2017,12:35PM,cin,pit
05/05/2017,07:10PM,cin,sf
05/06/2017,07:10PM,cin,sf
05/07/2017,04:10PM,cin,sf
05/08/2017,07:10PM,cin,nyy
05/09/2017,07:10PM,cin,nyy
05/11/2017,10:15PM,sf,sf
05/12/2017,10:15PM,sf,sf
05/13/2017,04:05PM,sf,sf
05/14/2017,04:05PM,sf,sf
05/16/2017,08:05PM,chc,chc
05/17/2017,08:05PM,chc,chc
05/18/2017,02:20PM,chc,chc
05/19/2017,07:10PM,cin,col
05/20/2017,04:10PM,cin,col
05/21/2017,01:10PM,cin,col
05/22/2017,07:10PM,cin,cle
05/23/2017,07:10PM,cin,cle
05/24/2017,06:10PM,cle,cle
05/25/2017,06:10PM,cle,cle
05/26/2017,07:05PM,phi,phi
05/27/2017,04:05PM,phi,phi
05/28/2017,01:35PM,phi,phi
05/29/2017,07:07PM,tor,tor
05/30/2017,07:07PM,tor,tor
05/31/2017,12:37PM,tor,tor
06/02/2017,07:10PM,cin,atl
06/03/2017,04:10PM,cin,atl
06/04/2017,01:10PM,cin,atl
06/05/2017,07:10PM,cin,stl
06/06/2017,07:10PM,cin,stl
06/07/2017,07:10PM,cin,stl
06/08/2017,12:35PM,cin,stl
06/09/2017,10:10PM,lad,lad
06/10/2017,10:10PM,lad,lad
06/11/2017,04:10PM,lad,lad
06/12/2017,10:10PM,sd,sd
06/13/2017,10:10PM,sd,sd
06/14/2017,03:40PM,sd,sd
06/16/2017,07:10PM,cin,lad
06/17/2017,04:10PM,cin,lad
06/18/2017,01:10PM,cin,lad
06/19/2017,07:10PM,tb,tb
06/20/2017,07:10PM,tb,tb
06/21/2017,12:10PM,tb,tb
06/23/2017,07:05PM,was,was
06/24/2017,04:05PM,was,was
06/25/2017,01:35PM,was,was
06/27/2017,07:10PM,cin,mil
06/28/2017,07:10PM,cin,mil
06/29/2017,07:10PM,cin,mil
