date,time,opponent,location
04/01/2021,04:10PM,stl,cin
04/03/2021,04:10PM,stl,cin
04/04/2021,01:10PM,stl,cin
04/05/2021,06:40PM,pit,cin
04/06/2021,06:40PM,pit,cin
04/07/2021,12:35PM,pit,cin
04/09/2021,09:40PM,ari,ari
04/10/2021,08:10PM,ari,ari
04/11/2021,04:10PM,ari,ari
04/12/2021,09:45PM,sf,sf
04/13/2021,09:45PM,sf,sf
04/14/2021,03:45PM,sf,sf
04/16/2021,07:10PM,cle,cin
04/17/2021,04:10PM,cle,cin
04/18/2021,01:10PM,cle,cin
04/20/2021,06:40PM,ari,cin
04/21/2021,06:40PM,ari,cin
04/22/2021,12:35PM,ari,cin
04/23/2021,08:15PM,stl,stl
04/24/2021,02:15PM,stl,stl
04/25/2021,02:15PM,stl,stl
04/26/2021,10:10PM,lad,lad
04/27/2021,10:10PM,lad,lad
04/28/2021,04:10PM,lad,lad
04/30/2021,07:10PM,chc,cin
05/01/2021,04:10PM,chc,cin
05/02/2021,01:10PM,chc,cin
05/04/2021,06:40PM,chw,cin
05/05/2021,06:40PM,chw,cin
05/07/2021,07:10PM,cle,cle
05/08/2021,06:10PM,cle,cle
05/09/2021,01:10PM,cle,cle
05/10/2021,06:35PM,pit,pit
05/11/2021,06:35PM,pit,pit
05/12/2021,12:35PM,pit,pit
05/13/2021,08:40PM,col,col
05/14/2021,08:40PM,col,col
05/15/2021,08:10PM,col,col
05/16/2021,03:10PM,col,col
05/17/2021,06:40PM,sf,cin
05/18/2021,06:40PM,sf,cin
05/19/2021,06:40PM,sf,cin
05/20/2021,12:35PM,sf,cin
05/21/2021,07:10PM,mil,cin
05/22/2021,04:10PM,mil,cin
05/23/2021,01:10PM,mil,cin
05/25/2021,07:05PM,was,was
05/26/2021,07:05PM,was,was
05/27/2021,07:05PM,was,was
05/28/2021,02:20PM,chc,chc
05/29/2021,02:20PM,chc,chc
05/30/2021,02:20PM,chc,chc
05/31/2021,02:10PM,phi,cin
06/01/2021,07:10PM,phi,cin
06/02/2021,12:35PM,phi,cin
06/03/2021,08:15PM,stl,stl
06/04/2021,08:15PM,stl,stl
06/05/2021,02:15PM,stl,stl
06/06/2021,02:15PM,stl,stl
06/08/2021,07:10PM,mil,cin
06/09/2021,07:10PM,mil,cin
06/10/2021,12:35PM,mil,cin
06/11/2021,07:10PM,col,cin
06/12/2021,04:10PM,col,cin
06/13/2021,01:10PM,col,cin
06/14/2021,08:10PM,mil,mil
06/15/2021,08:10PM,mil,mil
06/16/2021,02:10PM,mil,mil
06/17/2021,10:10PM,sd,sd
06/18/2021,10:10PM,sd,sd
06/19/2021,07:15PM,sd,sd
06/20/2021,04:10PM,sd,sd
06/21/2021,08:10PM,min,min
06/22/2021,01:10PM,min,min
06/24/2021,07:10PM,atl,cin
06/25/2021,07:10PM,atl,cin
06/26/2021,04:10PM,atl,cin
06/27/2021,01:10PM,atl,cin
06/29/2021,07:10PM,sd,cin
06/30/2021,07:10PM,sd,cin
07/01/2021,07:10PM,sd,cin
07/02/2021,07:10PM,chc,cin
07/03/2021,04:10PM,chc,cin
07/04/2021,01:10PM,chc,cin
07/05/2021,08:10PM,kc,kc
07/06/2021,08:10PM,kc,kc
07/07/2021,02:10PM,kc,kc
07/08/2021,08:10PM,mil,mil
07/09/2021,08:10PM,mil,mil
07/10/2021,07:15PM,mil,mil
07/11/2021,02:10PM,mil,mil
07/16/2021,07:10PM,mil,cin
07/17/2021,07:10PM,mil,cin
07/18/2021,01:10PM,mil,cin
07/19/2021,07:10PM,nym,cin
07/20/2021,07:10PM,nym,cin
07/21/2021,12:35PM,nym,cin
07/23/2021,07:10PM,stl,cin
07/24/2021,07:10PM,stl,cin
07/25/2021,01:10PM,stl,cin
07/26/2021,08:05PM,chc,chc
07/27/2021,08:05PM,chc,chc
07/28/2021,08:05PM,chc,chc
07/29/2021,02:20PM,chc,chc
07/30/2021,07:10PM,nym,nym
07/31/2021,07:10PM,nym,nym
08/01/2021,01:10PM,nym,nym
08/03/2021,07:10PM,min,cin
08/04/2021,12:35PM,min,cin
08/05/2021,07:10PM,pit,cin
08/06/2021,07:10PM,pit,cin
08/07/2021,07:10PM,pit,cin
08/08/2021,01:10PM,pit,cin
08/10/2021,07:20PM,atl,atl
08/11/2021,07:20PM,atl,atl
08/12/2021,05:10PM,atl,atl
08/13/2021,07:05PM,phi,phi
08/14/2021,04:05PM,phi,phi
08/15/2021,01:05PM,phi,phi
08/16/2021,07:10PM,chc,cin
08/17/2021,07:10PM,chc,cin
08/18/2021,12:35PM,chc,cin
08/19/2021,07:10PM,mia,cin
08/20/2021,07:10PM,mia,cin
