date,time,opponent,location
08/21/2021,07:10PM,mia,cin
08/22/2021,01:10PM,mia,cin
08/24/2021,08:10PM,mil,mil
08/25/2021,08:10PM,mil,mil
08/26/2021,02:10PM,mil,mil
08/27/2021,07:10PM,mia,mia
08/28/2021,06:10PM,mia,mia
08/29/2021,01:10PM,mia,mia
08/30/2021,06:40PM,stl,cin
08/31/2021,06:40PM,stl,cin
09/01/2021,06:40PM,stl,cin
09/03/2021,07:10PM,det,cin
09/04/2021,07:10PM,det,cin
09/05/2021,01:10PM,det,cin
09/06/2021,02:20PM,chc,chc
09/07/2021,07:40PM,chc,chc
09/08/2021,07:40PM,chc,chc
09/10/2021,08:15PM,stl,stl
09/11/2021,07:15PM,stl,stl
09/12/2021,02:15PM,stl,stl
09/14/2021,06:35PM,pit,pit
09/15/2021,06:35PM,pit,pit
09/16/2021,12:35PM,pit,pit
09/17/2021,07:10PM,lad,cin
09/18/2021,07:10PM,lad,cin
09/19/2021,01:10PM,lad,cin
09/20/2021,06:40PM,pit,cin
09/21/2021,06:40PM,pit,cin
09/22/2021,12:35PM,pit,cin
09/23/2021,06:40PM,was,cin
09/24/2021,07:10PM,was,cin
09/25/2021,07:10PM,was,cin
09/26/2021,01:10PM,was,cin
09/28/2021,08:10PM,chw,chw
09/29/2021,08:10PM,chw,chw
10/01/2021,06:35PM,pit,pit
10/02/2021,06:35PM,pit,pit
10/03/2021,03:05PM,pit,pit
